Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":27149687,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":27653298,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":28157990,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":28661157,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":29165232,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":29668972,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":30172446,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":30675202,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":31179613,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":31683413,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":32186907,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":32690496,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":33194090,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":33697725,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":34201033,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":34706423,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":35208788,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":35713316,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":36216524,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":36721105,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":37223704,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":37728516,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":38230765,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":38734757,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":39238939,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":39742291,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":40246647,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":40750497,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":41254176,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":41757681,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":42260817,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":42764761,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":43268045,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":43772431,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":44275265,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":44779755,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":45282872,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":45786532,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":46291933,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":46794431,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":47298206,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":47801926,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":48305334,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":48809051,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":49312867,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":49543523,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_START {"batch_index":0,"command_batch_sha256":"06db31fcdc3688b488b775f0f516ad9088e3b0cfd6d938cfbb08e2260427db87","deadline_mono_us":606993316,"generation":1,"issued_mono_us":6993316,"max_status_gap_ms":505.401,"process_frame":6332,"ready_file":"benchmark/out/ready-00.json","ready_sha256":"264df2e041b6aa2885462b0ed33d2eabaea909ba2fa20a576e01de8c1c45923d","root_instance_id":1519864839491,"semantic_sha256":"f3fd9f270886a056f469e70586795e06c8d47b651021a22366629ab06d886162","start_file":"benchmark/input/start-00.json","start_observed_mono_us":49543519,"start_sha256":"ac8bce2a0859173e085d19fba6f75a989229d5d0b115e6652c19bbf7d4ab3444","start_size_bytes":500}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":49543677,"phase":"CYCLE_BEGIN","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":0,"entry_event_us":49693628,"event":"save_enter","formal_acceptance":false,"pid":11352,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6336,"process_entry_us":49693591,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-01","save_start_us":49693613,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":1,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":49693778,"call_return_us":49794294,"cycle":0,"entry_event_us":49693628,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":6342,"next_process_entry_us":49808014,"next_process_exit_frame":6342,"next_process_exit_us":49811195,"observation_complete":true,"pid":11352,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6336,"process_entry_us":49693591,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":49811178,"run_id":"gt06-s105-handles-01","save_process_exit_frame":6341,"save_process_exit_us":49794302,"save_result":0,"save_start_us":49693613,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":1,"signal_frame":6341,"signal_us":49786991,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":1,"entry_event_us":49960381,"event":"save_enter","formal_acceptance":false,"pid":11352,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6349,"process_entry_us":49960347,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-01","save_start_us":49960367,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":2,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":1,"main_thread":true,"monotonic_us":50060473,"phase":"SAVE_WAIT","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":49960594,"call_return_us":50055795,"cycle":1,"entry_event_us":49960381,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":6355,"next_process_entry_us":50060451,"next_process_exit_frame":6355,"next_process_exit_us":50063692,"observation_complete":true,"pid":11352,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6349,"process_entry_us":49960347,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":50063675,"run_id":"gt06-s105-handles-01","save_process_exit_frame":6354,"save_process_exit_us":50055802,"save_result":0,"save_start_us":49960367,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":2,"signal_frame":6354,"signal_us":50049563,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":2,"entry_event_us":50189104,"event":"save_enter","formal_acceptance":false,"pid":11352,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6362,"process_entry_us":50189068,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-01","save_start_us":50189089,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":3,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":50189290,"call_return_us":50333200,"cycle":2,"entry_event_us":50189104,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":6368,"next_process_entry_us":50399658,"next_process_exit_frame":6368,"next_process_exit_us":50403914,"observation_complete":true,"pid":11352,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6362,"process_entry_us":50189068,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":50403892,"run_id":"gt06-s105-handles-01","save_process_exit_frame":6367,"save_process_exit_us":50333207,"save_result":0,"save_start_us":50189089,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":3,"signal_frame":6367,"signal_us":50325567,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":3,"entry_event_us":50548914,"event":"save_enter","formal_acceptance":false,"pid":11352,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6375,"process_entry_us":50548880,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-01","save_start_us":50548900,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":4,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":3,"main_thread":true,"monotonic_us":50567867,"phase":"SAVE_WAIT","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":50549113,"call_return_us":50642811,"cycle":3,"entry_event_us":50548914,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":6381,"next_process_entry_us":50647885,"next_process_exit_frame":6381,"next_process_exit_us":50651115,"observation_complete":true,"pid":11352,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6375,"process_entry_us":50548880,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":50651096,"run_id":"gt06-s105-handles-01","save_process_exit_frame":6380,"save_process_exit_us":50642822,"save_result":0,"save_start_us":50548900,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":4,"signal_frame":6380,"signal_us":50635369,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":4,"entry_event_us":50781803,"event":"save_enter","formal_acceptance":false,"pid":11352,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6388,"process_entry_us":50781778,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-01","save_start_us":50781792,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":5,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":50781936,"call_return_us":50873504,"cycle":4,"entry_event_us":50781803,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":6394,"next_process_entry_us":50878236,"next_process_exit_frame":6394,"next_process_exit_us":50881149,"observation_complete":true,"pid":11352,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6388,"process_entry_us":50781778,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":50881134,"run_id":"gt06-s105-handles-01","save_process_exit_frame":6393,"save_process_exit_us":50873513,"save_result":0,"save_start_us":50781792,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":5,"signal_frame":6393,"signal_us":50867027,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
