Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":40621830,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":41125406,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":41629773,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":42133105,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":42637218,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":43140573,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":43645555,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":44148446,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":44651204,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":45155425,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":45658453,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":46169559,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":46670633,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":47174538,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":47667135,"phase":"HOST_START","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_START {"batch_index":0,"command_batch_sha256":"8b5cefa66bee08c08673721f507c679a040deb5744beb5dc5f0bb8630f14aaea","deadline_mono_us":606873391,"generation":1,"issued_mono_us":6873391,"max_status_gap_ms":511.106,"process_frame":6043,"ready_file":"benchmark/out/ready-00.json","ready_sha256":"bc5ed9e684970d5d327a9f47724aa6ffdb23e24fec0a7cadecb7bb2a5702c56e","root_instance_id":1519764176195,"semantic_sha256":"f3fd9f270886a056f469e70586795e06c8d47b651021a22366629ab06d886162","start_file":"benchmark/input/start-00.json","start_observed_mono_us":47667129,"start_sha256":"d3835719e5460af20b357dc379415f12e72deabe2e73064c60916b78b8898ab8","start_size_bytes":508}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":47667316,"phase":"CYCLE_BEGIN","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":1,"main_thread":true,"monotonic_us":48171811,"phase":"SAVE_WAIT","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":4,"main_thread":true,"monotonic_us":48715779,"phase":"UNDO","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":6,"main_thread":true,"monotonic_us":49261541,"phase":"SAVE","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":8,"main_thread":true,"monotonic_us":49764994,"phase":"SAVE","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":10,"main_thread":true,"monotonic_us":50279448,"phase":"SAVE_WAIT","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":12,"main_thread":true,"monotonic_us":50799979,"phase":"SAVE_WAIT","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":14,"main_thread":true,"monotonic_us":51312240,"phase":"SAVE_WAIT","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
