Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":28455570,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":28960207,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":29463065,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":29967202,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":30470754,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":30975194,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":31478257,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":31982672,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":32486182,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":32989665,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
